Team 1,Team 2,Wins1,Wins2,Team1Win %,Team2Win %,Games
de Cruz,Kim,0,1,0,1,1
de Cruz,Koe,2,1,0.666666667,0.333333333,3
de Cruz,McEwen,1,1,0.5,0.5,2
de Cruz,Mouat,0,4,0,1,4
de Cruz,Retornaz,0,2,0,1,2
de Cruz,Shuster,0,2,0,1,2
de Cruz,Smith,1,1,0.5,0.5,2
de Cruz,Stjerne,1,0,1,0,1
de Cruz,Ulsrud,1,0,1,0,1
de Cruz,Whyte,0,1,0,1,1
